example_id                                              | status | run_time        |
------------------------------------------------------- | ------ | --------------- |
./spec/cells/homepage_cell_spec.rb[1:1]                 | passed | 0.00819 seconds |
./spec/cells/homepage_cell_spec.rb[1:2:1:1]             | passed | 0.0063 seconds  |
./spec/cells/homepage_cell_spec.rb[1:2:2:1]             | passed | 0.00661 seconds |
./spec/cells/homepage_cell_spec.rb[1:2:3:1]             | passed | 0.02527 seconds |
./spec/config/date_format_spec.rb[1:1:1]                | passed | 0.00104 seconds |
./spec/config/date_format_spec.rb[1:2:1]                | passed | 0.00075 seconds |
./spec/features/authentication_spec.rb[1:1]             | passed | 0.1472 seconds  |
./spec/features/authentication_spec.rb[1:2]             | passed | 0.0784 seconds  |
./spec/features/filling_in_a_per_spec.rb[1:1]           | failed | 1.32 seconds    |
./spec/features/inviting_a_user_spec.rb[1:1]            | passed | 0.16394 seconds |
./spec/features/inviting_a_user_spec.rb[1:2]            | passed | 0.19787 seconds |
./spec/features/inviting_a_user_spec.rb[1:3]            | passed | 0.08887 seconds |
./spec/features/managing_move_destinations_spec.rb[1:1] | passed | 0.54201 seconds |
./spec/features/password_resets_spec.rb[1:1]            | passed | 0.55434 seconds |
./spec/forms/detainee_details_spec.rb[1:1:1:1]          | passed | 0.00098 seconds |
./spec/forms/detainee_details_spec.rb[1:1:1:2]          | passed | 0.00092 seconds |
./spec/forms/detainee_details_spec.rb[1:1:1:3]          | passed | 0.00094 seconds |
./spec/forms/detainee_details_spec.rb[1:1:1:4]          | passed | 0.00093 seconds |
./spec/forms/detainee_details_spec.rb[1:1:1:5]          | passed | 0.0009 seconds  |
./spec/forms/detainee_details_spec.rb[1:1:1:6]          | passed | 0.00096 seconds |
./spec/forms/detainee_details_spec.rb[1:1:1:7]          | passed | 0.00092 seconds |
./spec/forms/detainee_details_spec.rb[1:1:2]            | passed | 0.004 seconds   |
./spec/forms/detainee_details_spec.rb[1:1:3]            | passed | 0.0117 seconds  |
./spec/forms/detainee_details_spec.rb[1:1:4:1:1]        | passed | 0.00208 seconds |
./spec/forms/detainee_details_spec.rb[1:1:4:2:1]        | passed | 0.00499 seconds |
./spec/forms/detainee_details_spec.rb[1:1:4:2:2]        | passed | 0.00397 seconds |
./spec/forms/detainee_details_spec.rb[1:1:5]            | passed | 0.00691 seconds |
./spec/forms/detainee_details_spec.rb[1:1:6]            | passed | 0.00779 seconds |
./spec/forms/detainee_details_spec.rb[1:2:1]            | passed | 0.00203 seconds |
./spec/forms/detainee_details_spec.rb[1:3:1]            | passed | 0.00362 seconds |
./spec/forms/healthcare/allergies_spec.rb[1:1:1:1]      | passed | 0.00125 seconds |
./spec/forms/healthcare/allergies_spec.rb[1:2:1:1]      | passed | 0.00105 seconds |
./spec/forms/healthcare/allergies_spec.rb[1:2:2]        | passed | 0.00369 seconds |
./spec/forms/healthcare/allergies_spec.rb[1:2:3:1]      | passed | 0.00364 seconds |
./spec/forms/healthcare/allergies_spec.rb[1:3:1]        | passed | 0.00298 seconds |
./spec/forms/healthcare/contact_spec.rb[1:1:1]          | passed | 0.00299 seconds |
./spec/forms/healthcare/medication_spec.rb[1:1:1:1]     | passed | 0.00097 seconds |
./spec/forms/healthcare/medication_spec.rb[1:1:1:2]     | passed | 0.00097 seconds |
./spec/forms/healthcare/medication_spec.rb[1:1:2]       | passed | 0.00181 seconds |
./spec/forms/healthcare/medication_spec.rb[1:1:3]       | passed | 0.00401 seconds |
./spec/forms/healthcare/medication_spec.rb[1:1:4]       | passed | 0.00508 seconds |
./spec/forms/healthcare/medication_spec.rb[1:2:1]       | passed | 0.00948 seconds |
./spec/forms/healthcare/mental_spec.rb[1:1:1:1]         | passed | 0.00108 seconds |
./spec/forms/healthcare/mental_spec.rb[1:1:2:1]         | passed | 0.00092 seconds |
./spec/forms/healthcare/mental_spec.rb[1:2:1:1]         | passed | 0.00221 seconds |
./spec/forms/healthcare/mental_spec.rb[1:2:1:2]         | passed | 0.00115 seconds |
./spec/forms/healthcare/mental_spec.rb[1:2:2]           | passed | 0.005 seconds   |
./spec/forms/healthcare/mental_spec.rb[1:2:3:1]         | passed | 0.00443 seconds |
./spec/forms/healthcare/mental_spec.rb[1:2:4]           | passed | 0.00398 seconds |
./spec/forms/healthcare/mental_spec.rb[1:2:5:1]         | passed | 0.00442 seconds |
./spec/forms/healthcare/mental_spec.rb[1:3:1]           | passed | 0.00578 seconds |
./spec/forms/healthcare/needs_spec.rb[1:1:1:1]          | passed | 0.00187 seconds |
./spec/forms/healthcare/needs_spec.rb[1:1:2:1]          | passed | 0.0013 seconds  |
./spec/forms/healthcare/needs_spec.rb[1:2:1:1]          | passed | 0.00242 seconds |
./spec/forms/healthcare/needs_spec.rb[1:2:2]            | passed | 0.00576 seconds |
./spec/forms/healthcare/needs_spec.rb[1:2:3:1]          | passed | 0.00483 seconds |
./spec/forms/healthcare/needs_spec.rb[1:2:4]            | passed | 0.00384 seconds |
./spec/forms/healthcare/needs_spec.rb[1:3:1]            | passed | 0.04447 seconds |
./spec/forms/healthcare/needs_spec.rb[1:3:2]            | passed | 0.00958 seconds |
./spec/forms/healthcare/needs_spec.rb[1:3:3:1]          | failed | 0.0179 seconds  |
./spec/forms/healthcare/needs_spec.rb[1:3:3:2:1]        | passed | 0.01076 seconds |
./spec/forms/healthcare/needs_spec.rb[1:4:1:1]          | passed | 0.0057 seconds  |
./spec/forms/healthcare/needs_spec.rb[1:4:2:1]          | passed | 0.04427 seconds |
./spec/forms/healthcare/needs_spec.rb[1:5:1]            | passed | 0.00192 seconds |
./spec/forms/healthcare/physical_spec.rb[1:1:1:1]       | passed | 0.00084 seconds |
./spec/forms/healthcare/physical_spec.rb[1:2:1:1]       | passed | 0.0009 seconds  |
./spec/forms/healthcare/physical_spec.rb[1:2:2]         | passed | 0.0036 seconds  |
